ticker,name,market,security_type,ohlcv_rows,trade_dates,min_date,max_date,has_krx
457390,대신밸런스제15호스팩,KOSDAQ,,412,412,2023-08-30,2025-05-14,t
457550,우진엔텍,KOSDAQ,,563,563,2024-01-24,2026-05-20,t
457600,벡트,KOSDAQ,,345,345,2024-12-16,2026-05-20,t
457630,대신밸런스제16호스팩,KOSDAQ,,633,633,2023-09-04,2026-04-14,t
457940,에스케이증권제10호스팩,KOSDAQ,,626,626,2023-08-11,2026-03-13,t
458320,KB제26호스팩,KOSDAQ,,394,394,2023-08-10,2025-03-27,t
458350,에스팀,KOSDAQ,,52,52,2026-03-06,2026-05-20,t
458610,한국제12호스팩,KOSDAQ,,628,628,2023-08-30,2026-04-02,t
458650,성우,KOSDAQ,,377,377,2024-10-31,2026-05-20,t
458870,씨어스,KOSDAQ,,466,466,2024-06-19,2026-05-20,t
459100,위츠,KOSDAQ,,363,363,2024-11-20,2026-05-20,t
459510,나우로보틱스,KOSDAQ,,253,253,2025-05-08,2026-05-20,t
459550,알트,KOSDAQ,,124,124,2025-11-17,2026-05-20,t
460470,아이빔테크놀로지,KOSDAQ,,432,432,2024-08-06,2026-05-20,t
460850,동국씨엠,KOSPI,,712,712,2023-06-16,2026-05-20,t
460860,동국제강,KOSPI,,712,712,2023-06-16,2026-05-20,t
460870,에스엠씨지,KOSDAQ,,294,294,2025-03-07,2026-05-20,t
460930,현대힘스,KOSDAQ,,561,561,2024-01-26,2026-05-20,t
460940,피앤에스로보틱스,KOSDAQ,,436,436,2024-07-31,2026-05-20,t
461030,아이엠비디엑스,KOSDAQ,,516,516,2024-04-03,2026-05-20,t
461300,아이스크림미디어,KOSDAQ,,415,415,2024-08-30,2026-05-20,t
462020,에이치엠씨제6호스팩,KOSDAQ,,631,631,2023-10-13,2026-05-18,t
462310,뉴키즈온,KOSDAQ,,211,211,2025-07-09,2026-05-20,t
462350,이노스페이스,KOSDAQ,,457,457,2024-07-02,2026-05-20,t
462510,라메디텍,KOSDAQ,,468,468,2024-06-17,2026-05-20,t
462520,조선내화,KOSPI,,682,682,2023-07-28,2026-05-20,t
462860,더즌,KOSDAQ,,283,283,2025-03-24,2026-05-20,t
462870,시프트업,KOSPI,,450,450,2024-07-11,2026-05-20,t
462980,아이지넷,KOSDAQ,,316,316,2025-02-04,2026-05-20,t
463020,뉴엔AI,KOSDAQ,,214,214,2025-07-04,2026-05-20,t
463480,모티브링크,KOSDAQ,,304,304,2025-02-20,2026-05-20,t
464080,에스오에스랩,KOSDAQ,,462,462,2024-06-25,2026-05-20,t
464280,티디에스팜,KOSDAQ,,422,422,2024-08-21,2026-05-20,t
464440,한국제13호스팩,KOSDAQ,,612,612,2023-11-13,2026-05-20,t
464490,쿼드메디슨,KOSDAQ,,105,105,2025-12-12,2026-05-20,t
464500,아이언디바이스,KOSDAQ,,402,402,2024-09-23,2026-05-20,t
464580,닷밀,KOSDAQ,,368,368,2024-11-13,2026-05-20,t
464680,KB제27호스팩,KOSDAQ,,618,618,2023-11-03,2026-05-20,t
465320,교보15호스팩,KOSDAQ,,596,596,2023-12-05,2026-05-20,t
